# Rsilicon-2026-05-10 gale: DWT rows:   D,<at>,<cyccnt>,<cpicnt>,<exccnt>,<sleepcnt>,<lsucnt>,<foldcnt>
# Rsilicon-2026-05-10 gale: health rows:H,<at>,<temp_mC>,<vref_mV>,<vbat_mV>
Rsilicon-2026-05-10,gale,E,775,1,1000,253,582
Rsilicon-2026-05-10,gale,E,776,1,1000,253,582
Rsilicon-2026-05-10,gale,E,777,1,1000,253,582
Rsilicon-2026-05-10,gale,E,778,1,1000,253,582
Rsilicon-2026-05-10,gale,E,779,1,1000,253,582
Rsilicon-2026-05-10,gale,E,780,1,1000,253,582
Rsilicon-2026-05-10,gale,E,781,1,1000,253,582
Rsilicon-2026-05-10,gale,E,782,1,1000,253,582
Rsilicon-2026-05-10,gale,E,783,1,1000,253,582
Rsilicon-2026-05-10,gale,E,784,1,1000,253,582
Rsilicon-2026-05-10,gale,E,785,1,1000,253,582
Rsilicon-2026-05-10,gale,E,786,1,1000,253,582
Rsilicon-2026-05-10,gale,E,787,1,1000,253,582
Rsilicon-2026-05-10,gale,E,788,1,1000,253,582
Rsilicon-2026-05-10,gale,E,789,1,1000,253,582
Rsilicon-2026-05-10,gale,E,790,1,1000,253,582
Rsilicon-2026-05-10,gale,E,791,1,1000,253,582
Rsilicon-2026-05-10,gale,E,792,1,1000,253,582
Rsilicon-2026-05-10,gale,E,793,1,1000,253,582
Rsilicon-2026-05-10,gale,E,794,1,1000,253,582
Rsilicon-2026-05-10,gale,E,795,1,1000,253,582
Rsilicon-2026-05-10,gale,E,796,1,1000,253,582
Rsilicon-2026-05-10,gale,E,797,1,1000,253,582
Rsilicon-2026-05-10,gale,E,798,1,1000,253,582
Rsilicon-2026-05-10,gale,E,799,1,1000,253,582
Rsilicon-2026-05-10,gale,E,800,1,1000,253,582
Rsilicon-2026-05-10,gale,E,801,1,1000,253,582
Rsilicon-2026-05-10,gale,E,802,1,1000,253,582
Rsilicon-2026-05-10,gale,E,803,1,1000,253,582
Rsilicon-2026-05-10,gale,E,804,1,1000,253,582
Rsilicon-2026-05-10,gale,E,805,1,1000,253,582
Rsilicon-2026-05-10,gale,E,806,1,1000,253,582
Rsilicon-2026-05-10,gale,E,807,1,1000,253,582
Rsilicon-2026-05-10,gale,E,808,1,1000,253,582
Rsilicon-2026-05-10,gale,E,809,1,1000,253,582
Rsilicon-2026-05-10,gale,E,810,1,1000,253,582
Rsilicon-2026-05-10,gale,E,811,1,1000,253,582
Rsilicon-2026-05-10,gale,E,812,1,1000,253,582
Rsilicon-2026-05-10,gale,E,813,1,1000,253,582
Rsilicon-2026-05-10,gale,E,814,1,1000,253,582
Rsilicon-2026-05-10,gale,E,815,1,1000,253,582
Rsilicon-2026-05-10,gale,E,816,1,1000,253,582
Rsilicon-2026-05-10,gale,E,817,1,1000,253,582
Rsilicon-2026-05-10,gale,E,818,1,1000,253,582
Rsilicon-2026-05-10,gale,E,819,1,1000,253,582
Rsilicon-2026-05-10,gale,E,820,1,1000,253,582
Rsilicon-2026-05-10,gale,E,821,1,1000,253,582
Rsilicon-2026-05-10,gale,E,822,1,1000,253,582
Rsilicon-2026-05-10,gale,E,823,1,1000,253,582
Rsilicon-2026-05-10,gale,E,824,1,1000,253,582
