,<rpm>,<algo_cycles>,<handoff_cycles>
# DWT rows:   D,<at>,<cyccnt>,<cpicnt>,<exccnt>,<sleepcnt>,<lsucnt>,<foldcnt>
# health rows:H,<at>,<temp_mC>,<vref_mV>,<vbat_mV>
D,boot,6498924,193,52,0,210,151
H,boot,211981,27650,0
E,1246,2,1500,253,582
E,1247,2,1500,253,582
E,1248,2,1500,253,582
E,1249,2,1500,253,582
E,1250,2,1500,253,582
E,1251,2,1500,253,582
E,1252,2,1500,253,582
E,1253,2,1500,253,582
E,1254,2,1500,253,582
E,1255,2,1500,253,582
E,1256,2,1500,253,582
E,1257,2,1500,253,582
E,1258,2,1500,253,582
E,1259,2,1500,253,582
E,1260,2,1500,253,582
E,1261,2,1500,253,582
E,1262,2,1500,253,582
E,1263,2,1500,253,582
E,1264,2,1500,253,582
E,1265,2,1500,253,582
E,1266,2,1500,253,582
E,1267,2,1500,253,582
E,1268,2,1500,253,582
E,1269,2,1500,253,582
E,1270,2,1500,253,582
E,1271,2,1500,253,582
E,1272,2,1500,253,582
E,1273,2,1500,253,582
E,1274,2,1500,253,582
E,1275,2,1500,253,582
E,1276,2,1500,253,582
E,1277,2,1500,253,582
E,1278,2,1500,253,582
E,1279,2,1500,253,582
E,1280,2,1500,253,582
E,1281,2,1500,253,582
E,1282,2,1500,253,582
E,1283,2,1500,253,582
E,1284,2,1500,253,582
E,1285,2,1500,253,582
E,1286,2,1500,253,582
E,1287,2,1500,253,582
E,1288,2,1500,253,582
E,1289,2,1500,253,582
E,1290,2,1500,253,582
E,1291,2,1500,253,582
E,1292,2,1500,253,582
E,1293,2,1500,253,582
E,1294,2,1500,253,582
E,1295,2,1500,253,582
E,1296,2,1500,253,582
E,1297,2,1500,253,582
E,1298,2,1500,253,582
E,1299,2,1500,253,582
E,1300,2,1500,253,582
E,1301,2,1500,253,582
E,1302,2,1500,253,582
E,1303,2,1500,253,582
E,1304,2,1500,253,582
E,1305,2,1500,253,582
E,1306,2,1500,253,582
E,1307,2,1500,253,582
E,1308,2,1500,253,582
E,1309,2,1500,253,582
E,1310,2,1500,253,582
E,1311,2,1500,253,582
E,1312,2,1500,253,582
E,1313,2,1500,253,582
E,1314,2,1500,253,582
E,1315,2,1500,253,582
E,1316,2,1500,253,582
E,1317,2,1500,253,582
E,1318,2,1500,253,582
E,1319,2,1500,253,582
E,1320,2,1500,253,582
E,1321,2,1500,253,582
E,1322,2,1500,253,582
E,1323,2,1500,253,582
E,1324,2,1500,253,582
E,1325,2,1500,253,582
E,1326,2,1500,253,582
E,1327,2,1500,253,582
E,1328,2,1500,253,582
E,1329,2,1500,253,582
E,1330,2,1500,253,582
E,1331,2,1500,253,582
E,1332,2,1500,253,582
E,1333,2,1500,253,582
E,1334,2,1500,253,582
E,1335,2,1500,253,582
E,1336,2,1500,253,582
E,1337,2,1500,253,582
E,1338,2,1500,253,582
E,1339,2,1500,253,582
E,1340,2,1500,253,582
E,1341,2,1500,253,582
E,1342,2,1500,253,582
E,1343,2,1500,253,582
E,1344,2,1500,253,582
E,1345,2,1500,253,582
E,1346,2,1500,253,582
E,1347,2,1500,253,582
E,1348,2,1500,253,582
E,1349,2,1500,253,582
E,1350,2,1500,253,582
E,1351,2,1500,253,582
E,1352,2,1500,253,582
E,1353,2,1500,253,582
E,1354,2,1500,253,582
E,1355,2,1500,253,582
E,1356,2,1500,253,582
E,1357,2,1500,253,582
E,1358,2,1500,253,582
E,1359,2,1500,253,582
E,1360,2,1500,253,582
E,1361,2,1500,253,582
E,1362,2,1500,253,582
